Mart,Mart_Domain,Destination,Destination_Domain,Source,Source_Domain,Cron Schedule,Reload_Time,Median_Load_Time,Bottleneck_Time
cn_action,cn,cn_action,cn,cn_zsd0_call_subtyt,cn,,,4.57,
cn_action,cn,cn_zsd0_call_subtyt,cn,int_zsd0_call_subtyt,intermediate,,,4.66,
cn_action,cn,int_zsd0_call_subtyt,intermediate,sap_zsd0_call_subtyt,staging,['0 1 * * *'],3600.0,9.585,3610.0
cn_action,cn,cn_action,cn,cn_actiongroup,cn,,,2.83,
cn_action,cn,cn_actiongroup,cn,int_actiongroup,intermediate,,,4.65,
cn_action,cn,int_actiongroup,intermediate,sp_actiongroup,staging,['0 1 * * *'],3600.0,8.74,3609.0
cn_action,cn,cn_action,cn,int_zfv_201t,intermediate,,,4.52,
cn_action,cn,int_zfv_201t,intermediate,sap_zfv_201t,staging,['0 1 * * *'],3600.0,9.67,3610.0
cn_action,cn,cn_action,cn,cn_cnhr,cn,,,4.44,
cn_action,cn,cn_cnhr,cn,int_salesrep_area_combine,intermediate,,,6.95,
cn_action,cn,int_salesrep_area_combine,intermediate,sp_salesrep_area_combine,staging,['0 1 * * *'],3600.0,8.72,3609.0
cn_action,cn,cn_cnhr,cn,int_vacantuser,intermediate,,,3.835,
cn_action,cn,int_vacantuser,intermediate,sp_vacantuser,staging,['0 1 * * *'],3600.0,8.754999999999999,3609.0
cn_action,cn,cn_cnhr,cn,int_cnhr,intermediate,,,5.46,
cn_action,cn,int_cnhr,intermediate,sp_cnhr,staging,['0 1 * * *'],3600.0,8.805,3609.0
cn_action,cn,cn_action,cn,cn_zsd0_calls,cn,,,5.43,
cn_action,cn,cn_zsd0_calls,cn,int_zsd0_calls,intermediate,,,10.45,
cn_action,cn,int_zsd0_calls,intermediate,sap_zsd0_calls,staging,"['00 01,06,22 * * *']",3600.0,91.57000000000001,3692.0
cn_actiongroup,cn,cn_actiongroup,cn,int_actiongroup,intermediate,,,4.65,
cn_actiongroup,cn,int_actiongroup,intermediate,sp_actiongroup,staging,['0 1 * * *'],3600.0,8.74,3609.0
cn_aid_historicaltickets,cn,cn_aid_historicaltickets,cn,int_aid_historicaltickets,intermediate,,,4.56,
cn_aid_historicaltickets,cn,int_aid_historicaltickets,intermediate,sp_aid_historicaltickets,staging,['0 1 * * *'],3600.0,9.309999999999999,3609.0
cn_areamapping,cn,cn_areamapping,cn,int_areamapping,intermediate,,,4.390000000000001,
cn_avgeus,cn,cn_avgeus,cn,int_avgeus,intermediate,,,4.73,
cn_avgeus,cn,cn_avgeus,cn,cn_eumapping,cn,,,4.12,
cn_avgeus,cn,cn_eumapping,cn,int_eumapping,intermediate,,,4.22,
cn_avgeus,cn,int_eumapping,intermediate,sp_eumapping,staging,"['30 1 * * *', '0 8 * * *']",5400.0,8.745,5409.0
cn_avgeus,cn,cn_eumapping,cn,cn_kna1,cn,,,4.56,
cn_avgeus,cn,cn_kna1,cn,int_kna1,intermediate,,,12.41,
cn_avgeus,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_bkpf,cn,cn_bkpf,cn,int_bkpf,intermediate,,,6.34,
cn_bkpf,cn,int_bkpf,intermediate,sap_bkpf,staging,['0 1 * * *'],3600.0,231.07,3831.0
cn_blinemapping,cn,cn_blinemapping,cn,int_blinemapping,intermediate,,,4.48,
cn_blinemapping,cn,int_blinemapping,intermediate,sp_blinemapping,staging,['0 8 * * *'],28800.0,8.34,28808.0
cn_bluesheet,cn,cn_bluesheet,cn,int_bluesheet,intermediate,,,6.005,
cn_bluesheet,cn,int_bluesheet,intermediate,launchpad_bluesheetset,staging,['00 04 * * *'],14400.0,46.78,14447.0
cn_bluesheet,cn,int_bluesheet,intermediate,launchpad_bluesheetset_sea,staging,['00 05 * * *'],18000.0,7.795,18008.0
cn_budsales,cn,cn_budsales,cn,int_budsales,intermediate,,,4.31,
cn_budunits,cn,cn_budunits,cn,int_budunits,intermediate,,,4.26,
cn_case,cn,cn_case,cn,cn_mvke,cn,,,3.88,
cn_case,cn,cn_mvke,cn,int_mvke,intermediate,,,21.130000000000003,
cn_case,cn,int_mvke,intermediate,sap_mvke,staging,['00 05 * * *'],18000.0,506.06500000000005,18506.0
cn_case,cn,cn_case,cn,cn_areamapping,cn,,,3.85,
cn_case,cn,cn_areamapping,cn,int_areamapping,intermediate,,,4.390000000000001,
cn_case,cn,cn_case,cn,cn_kna1,cn,,,4.56,
cn_case,cn,cn_kna1,cn,int_kna1,intermediate,,,12.41,
cn_case,cn,int_kna1,intermediate,sap_kna1,staging,['00 03 * * *'],10800.0,59.779999999999994,10860.0
cn_case,cn,cn_case,cn,cn_zsd_inslit,cn,,,4.23,
cn_case,cn,cn_zsd_inslit,cn,int_zsd_inslit,intermediate,,,10.88,
cn_case,cn,cn_case,cn,cn_makt,cn,,,4.82,
